year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI,future_variability,future_value
1985,baseline,AIDS_Mortality,2025,0,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,baseline,AIDS_Mortality,2025,25,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,baseline,AIDS_Mortality,2025,50,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,baseline,AIDS_Mortality,2025,75,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,baseline,AIDS_Mortality,2025,100,7.935669015725146e-4,8.467975622741489e-4,7.395136756587113e-4,condom_reduction,28
1985,baseline,AIDSdeathsAdultF,2025,0,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,baseline,AIDSdeathsAdultF,2025,25,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,baseline,AIDSdeathsAdultF,2025,50,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,baseline,AIDSdeathsAdultF,2025,75,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,baseline,AIDSdeathsAdultF,2025,100,1.1351774,1.381882,0.73243635,condom_reduction,28
1985,baseline,AIDSdeathsAdultM,2025,0,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,baseline,AIDSdeathsAdultM,2025,25,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,baseline,AIDSdeathsAdultM,2025,50,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,baseline,AIDSdeathsAdultM,2025,75,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,baseline,AIDSdeathsAdultM,2025,100,1.1178324,1.36383025,0.73179695,condom_reduction,28
1985,baseline,ANCtestPos,2025,0,NA,NA,NA,condom_reduction,28
1985,baseline,ANCtestPos,2025,25,NA,NA,NA,condom_reduction,28
1985,baseline,ANCtestPos,2025,50,NA,NA,NA,condom_reduction,28
1985,baseline,ANCtestPos,2025,75,NA,NA,NA,condom_reduction,28
1985,baseline,ANCtestPos,2025,100,NA,NA,NA,condom_reduction,28
1985,baseline,ARTcoverageAdult,2025,0,0,0,0,condom_reduction,28
1985,baseline,ARTcoverageAdult,2025,25,0,0,0,condom_reduction,28
1985,baseline,ARTcoverageAdult,2025,50,0,0,0,condom_reduction,28
1985,baseline,ARTcoverageAdult,2025,75,0,0,0,condom_reduction,28
1985,baseline,ARTcoverageAdult,2025,100,0,0,0,condom_reduction,28
1985,baseline,ARTcoverageDiagF,2025,0,NA,NA,NA,condom_reduction,28
1985,baseline,ARTcoverageDiagF,2025,25,NA,NA,NA,condom_reduction,28
1985,baseline,ARTcoverageDiagF,2025,50,NA,NA,NA,condom_reduction,28
1985,baseline,ARTcoverageDiagF,2025,75,NA,NA,NA,condom_reduction,28
1985,baseline,ARTcoverageDiagF,2025,100,NA,NA,NA,condom_reduction,28
