indicator,pitc_reduction_year,test_reduction,scenario,discount,mean,median,upper_CI,lower_CI,future_variability,future_value,cumulative_years
AIDS_Mortality,2025,0,absolute_dif,undiscounted,9.96406971564509e-4,0.0010904476649163386,0.003221220768377638,-0.001414599799451064,condom_reduction,3,50
AIDS_Mortality,2025,0,annual_absolute_dif,undiscounted,9.964069715644999e-4,0.0010904476649163173,0.003221220768377623,-0.0014145997994510556,condom_reduction,3,50
AIDS_Mortality,2025,0,annual_percent_change,undiscounted,19.116448696535628,21.86202927004857,61.45540207996426,-29.12391274033932,condom_reduction,3,50
AIDS_Mortality,2025,0,baseline,undiscounted,0.2613685680746654,0.26368690886590224,0.27147074496244206,0.2496106560486607,condom_reduction,3,50
AIDS_Mortality,2025,0,intervention,undiscounted,0.26236497504622996,0.26382847900013273,0.2746919657308197,0.24829678509848727,condom_reduction,3,50
AIDS_Mortality,2025,0,percent_change,undiscounted,0.36808548357670406,0.42079535959324066,1.1859643967298363,-0.5624929737520437,condom_reduction,3,50
Circumcised15to49,2025,0,absolute_dif,undiscounted,-17.533924600000002,-17.530921,-17.520975000000004,-17.544557825,condom_reduction,3,50
Circumcised15to49,2025,0,annual_absolute_dif,undiscounted,-17.5339246,-17.530921,-17.520975,-17.544557825,condom_reduction,3,50
Circumcised15to49,2025,0,annual_percent_change,undiscounted,-1964.038263045147,-1963.853098909019,-1963.2113282118535,-1964.9681780428173,condom_reduction,3,50
Circumcised15to49,2025,0,baseline,undiscounted,44.0568268,44.057190500000004,44.06985602499999,44.040161475000005,condom_reduction,3,50
Circumcised15to49,2025,0,intervention,undiscounted,26.5229022,26.5238485,26.530614725,26.517869275,condom_reduction,3,50
Circumcised15to49,2025,0,percent_change,undiscounted,-39.798426592608386,-39.79576812530756,-39.7809038817631,-39.81531288861191,condom_reduction,3,50
elimination_year,2025,0,absolute_dif,NA,Inf,Inf,Inf,Inf,condom_reduction,3,50
elimination_year,2025,0,annual_absolute_dif,NA,2021,2021,2021,2021,condom_reduction,3,50
elimination_year,2025,0,annual_percent_change,NA,2021,2021,2021,2021,condom_reduction,3,50
elimination_year,2025,0,baseline,NA,2055,2055,2057.775,2052,condom_reduction,3,50
elimination_year,2025,0,intervention,NA,Inf,Inf,Inf,Inf,condom_reduction,3,50
elimination_year,2025,0,percent_change,NA,Inf,Inf,Inf,Inf,condom_reduction,3,50
FemalesOver15,2025,0,absolute_dif,undiscounted,-473830,-479750,-147952.49999999997,-747302.5,condom_reduction,3,50
FemalesOver15,2025,0,annual_absolute_dif,undiscounted,-473830,-479750,-147952.49999999997,-747302.5,condom_reduction,3,50
FemalesOver15,2025,0,annual_percent_change,undiscounted,-1.5445339190235554,-1.5624587356830366,-0.5221244135611898,-2.4051475828812423,condom_reduction,3,50
FemalesOver15,2025,0,baseline,undiscounted,1475307280,1475277300,1477926610,1472284505,condom_reduction,3,50
FemalesOver15,2025,0,intervention,undiscounted,1474833450,1474826650,1477641797.5,1471814032.5,condom_reduction,3,50
FemalesOver15,2025,0,percent_change,undiscounted,-0.03212146548642217,-0.032523328109179156,-0.010023439030697601,-0.05068804624238942,condom_reduction,3,50
FSWonPrEP,2025,0,absolute_dif,undiscounted,-344282.42000000004,-344990.75,-291479.2399999999,-379244.8550000002,condom_reduction,3,50
FSWonPrEP,2025,0,annual_absolute_dif,undiscounted,-344282.42,-344990.75,-291479.24,-379244.855,condom_reduction,3,50
FSWonPrEP,2025,0,annual_percent_change,undiscounted,-665.0422079330074,-663.38005513327,-566.7182041712683,-733.5614477369159,condom_reduction,3,50
FSWonPrEP,2025,0,baseline,undiscounted,2342985.39,2349027.55,2369360.5925000003,2308993.8075,condom_reduction,3,50
FSWonPrEP,2025,0,intervention,undiscounted,1998702.97,2007859.95,2075380.7475,1933975.4225,condom_reduction,3,50
FSWonPrEP,2025,0,percent_change,undiscounted,-14.703217131742722,-14.662661845064445,-12.331940410688821,-16.367143223469395,condom_reduction,3,50
MalesOver15,2025,0,absolute_dif,undiscounted,-1453110,-1524600,-881387.5,-1937975,condom_reduction,3,50
MalesOver15,2025,0,annual_absolute_dif,undiscounted,-1453110,-1524600,-881387.5,-1937975,condom_reduction,3,50
MalesOver15,2025,0,annual_percent_change,undiscounted,-5.012975380530299,-5.250507955091498,-3.0541833642488148,-6.6716653678309426,condom_reduction,3,50
MalesOver15,2025,0,baseline,undiscounted,1380108000,1380439650,1382576567.5,1377563540,condom_reduction,3,50
MalesOver15,2025,0,intervention,undiscounted,1378654890,1379019100,1381609027.5,1376152015,condom_reduction,3,50
MalesOver15,2025,0,percent_change,undiscounted,-0.10530526117368576,-0.11037138106936722,-0.06376120081057805,-0.1405900014590415,condom_reduction,3,50
MenOnPrEP,2025,0,absolute_dif,undiscounted,-21951502.870935835,-22018681.926596295,-20714468.748706535,-23078773.678849824,condom_reduction,3,50
MenOnPrEP,2025,0,annual_absolute_dif,undiscounted,-21951502.870935835,-22018681.926596295,-20714468.748706535,-23078773.678849824,condom_reduction,3,50
MenOnPrEP,2025,0,annual_percent_change,undiscounted,-4949.734224278647,-4949.690116767356,-4949.50820159476,-4949.9182545432495,condom_reduction,3,50
MenOnPrEP,2025,0,baseline,undiscounted,22312911.8,22383434.5,23452498.525,21057907.45,condom_reduction,3,50
MenOnPrEP,2025,0,intervention,undiscounted,361408.92906416394,364156.0246902183,377723.4092976012,343438.70129346487,condom_reduction,3,50
MenOnPrEP,2025,0,percent_change,undiscounted,-98.37967582027895,-98.37305182117753,-98.36085970424782,-98.42238203908704,condom_reduction,3,50
MMC10to14,2025,0,absolute_dif,undiscounted,-12379186.6,-12379143,-12343743.100000001,-12401638.9,condom_reduction,3,50
MMC10to14,2025,0,annual_absolute_dif,undiscounted,-12379186.6,-12379143,-12343743.100000001,-12401638.9,condom_reduction,3,50
MMC10to14,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC10to14,2025,0,baseline,undiscounted,12379186.6,12379143,12401638.9,12343743.100000001,condom_reduction,3,50
MMC10to14,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC10to14,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMC15to19,2025,0,absolute_dif,undiscounted,-2027523.84,-2027848.9,-2021651.6600000001,-2031388.3975,condom_reduction,3,50
MMC15to19,2025,0,annual_absolute_dif,undiscounted,-2027523.84,-2027848.9,-2021651.6600000001,-2031388.3975,condom_reduction,3,50
MMC15to19,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC15to19,2025,0,baseline,undiscounted,2027523.84,2027848.9,2031388.3975,2021651.6600000001,condom_reduction,3,50
MMC15to19,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC15to19,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMC20to24,2025,0,absolute_dif,undiscounted,-478214.98,-478421.395,-476369.9585,-479796.31775000005,condom_reduction,3,50
MMC20to24,2025,0,annual_absolute_dif,undiscounted,-478214.98,-478421.395,-476369.9585,-479796.31775000005,condom_reduction,3,50
MMC20to24,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC20to24,2025,0,baseline,undiscounted,478214.98,478421.395,479796.31775000005,476369.9585,condom_reduction,3,50
MMC20to24,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC20to24,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMC25to49,2025,0,absolute_dif,undiscounted,-1406032.46,-1405953,-1393072.7249999999,-1417739.8275,condom_reduction,3,50
MMC25to49,2025,0,annual_absolute_dif,undiscounted,-1406032.46,-1405953,-1393072.7249999999,-1417739.8275,condom_reduction,3,50
MMC25to49,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMC25to49,2025,0,baseline,undiscounted,1406032.46,1405953,1417739.8275000001,1393072.725,condom_reduction,3,50
MMC25to49,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMC25to49,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MMCover50,2025,0,absolute_dif,undiscounted,-203040.1318,-202978.07,-200144.85014999998,-205587.671,condom_reduction,3,50
MMCover50,2025,0,annual_absolute_dif,undiscounted,-203040.1318,-202978.07,-200144.85014999998,-205587.671,condom_reduction,3,50
MMCover50,2025,0,annual_percent_change,undiscounted,-5100,-5100,-5100,-5100,condom_reduction,3,50
MMCover50,2025,0,baseline,undiscounted,203040.1318,202978.07,205587.671,200144.85014999998,condom_reduction,3,50
MMCover50,2025,0,intervention,undiscounted,0,0,0,0,condom_reduction,3,50
MMCover50,2025,0,percent_change,undiscounted,-100,-100,-100,-100,condom_reduction,3,50
MSMonPrEP,2025,0,absolute_dif,undiscounted,-7491398.559061508,-7473633.910461987,-6928828.1664257385,-8115315.9413212845,condom_reduction,3,50
MSMonPrEP,2025,0,annual_absolute_dif,undiscounted,-7491398.559061508,-7473633.910461987,-6928828.1664257385,-8115315.941321284,condom_reduction,3,50
