"","year","scenario","indicator","pitc_reduction_year","test_reduction","mean","upper_CI","lower_CI","future_variability","future_value"
"1",1985,"baseline","ANCtestNeg","2025","100",0,0,0,"test_reduction_only",0
"2",1985,"baseline","ANCtestPos","2025","100",0,0,0,"test_reduction_only",0
"3",1985,"baseline","AdultHIVtestsNeg","2025","100",0.780790042,1.14878,0.481651,"test_reduction_only",0
"4",1985,"baseline","AdultHIVtestsPos","2025","100",9.81820198,14.2675,5.7409,"test_reduction_only",0
"5",1985,"baseline","Adult_1st_line_FU","2025","100",0,0,0,"test_reduction_only",0
"6",1985,"baseline","DiscART200to349","2025","100",0,0,0,"test_reduction_only",0
"7",1985,"baseline","DiscART350to499","2025","100",0,0,0,"test_reduction_only",0
"8",1985,"baseline","DiscARTover500","2025","100",0,0,0,"test_reduction_only",0
"9",1985,"baseline","DiscARTunder200","2025","100",0,0,0,"test_reduction_only",0
"10",1985,"baseline","FemalesOver15","2025","100",9986110,9986110,9986110,"test_reduction_only",0
"11",1985,"baseline","FollowUpART10to14","2025","100",0,0,0,"test_reduction_only",0
"12",1985,"baseline","FollowUpART1to2","2025","100",0,0,0,"test_reduction_only",0
"13",1985,"baseline","FollowUpART3to5","2025","100",0,0,0,"test_reduction_only",0
"14",1985,"baseline","FollowUpART6to9","2025","100",0,0,0,"test_reduction_only",0
"15",1985,"baseline","MalesOver15","2025","100",9540720,9540720,9540720,"test_reduction_only",0
"16",1985,"baseline","NewAdultHIV","2025","100",2194.78869,3248.45,1376.32,"test_reduction_only",0
"17",1985,"baseline","NewDiagnosesPregnancy","2025","100",0,0,0,"test_reduction_only",0
"18",1985,"baseline","Number1stHIVtestsPos","2025","100",9.81820198,14.2675,5.7409,"test_reduction_only",0
"19",1985,"baseline","OnARTcurr200to349","2025","100",0,0,0,"test_reduction_only",0
"20",1985,"baseline","OnARTcurr350to499","2025","100",0,0,0,"test_reduction_only",0
"21",1985,"baseline","OnARTcurrOver500","2025","100",0,0,0,"test_reduction_only",0
"22",1985,"baseline","OnARTcurrUnder200","2025","100",0,0,0,"test_reduction_only",0
"23",1985,"baseline","PaedsHIVtestsNeg","2025","100",0.00705705007,0.0103431625,0.00428088,"test_reduction_only",0
"24",1985,"baseline","PaedsHIVtestsPos","2025","100",0.00641845754,0.00951724975,0.00386771,"test_reduction_only",0
"25",1985,"baseline","PreART200to349F","2025","100",0,0,0,"test_reduction_only",0
"26",1985,"baseline","PreART200to349M","2025","100",0,0,0,"test_reduction_only",0
"27",1985,"baseline","PreART350to499F","2025","100",0,0,0,"test_reduction_only",0
"28",1985,"baseline","PreART350to499M","2025","100",0,0,0,"test_reduction_only",0
"29",1985,"baseline","PreARTover500F","2025","100",0,0,0,"test_reduction_only",0
"30",1985,"baseline","PreARTover500M","2025","100",0,0,0,"test_reduction_only",0
"31",1985,"baseline","PreARTunder200F","2025","100",0,0,0,"test_reduction_only",0
"32",1985,"baseline","PreARTunder200M","2025","100",0,0,0,"test_reduction_only",0
"33",1985,"baseline","RediagnosesPregnancy","2025","100",0,0,0,"test_reduction_only",0
"34",1985,"baseline","StartingART0","2025","100",0,0,0,"test_reduction_only",0
"35",1985,"baseline","StartingART1","2025","100",0,0,0,"test_reduction_only",0
"36",1985,"baseline","StartingART10to14","2025","100",0,0,0,"test_reduction_only",0
"37",1985,"baseline","StartingART1to2","2025","100",0,0,0,"test_reduction_only",0
"38",1985,"baseline","StartingART3to5","2025","100",0,0,0,"test_reduction_only",0
"39",1985,"baseline","StartingART6to9","2025","100",0,0,0,"test_reduction_only",0
