indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
AdultARTinterrupters,2025,100,absolute_dif,28991321,29882288.674999997,27822730.025000002
AdultARTinterrupters,2025,100,baseline,59179812,60897072.224999994,57869972.525
AdultARTinterrupters,2025,100,intervention,88171133,90494799.5,85705522.5
AdultARTinterrupters,2025,100,percent_change,48.9877014659955,50.229577368056354,48.020525817122675
AdultInterruptPropn,2025,100,absolute_dif,2.7577929,2.8101157500000005,2.6845112500000003
AdultInterruptPropn,2025,100,baseline,8.8701543,8.948355750000001,8.818079149999999
AdultInterruptPropn,2025,100,intervention,11.6279472,11.709540250000002,11.571228275
AdultInterruptPropn,2025,100,percent_change,31.09286413633268,31.79499761181219,30.02236007973106
art_interrupt_rate,2025,100,absolute_dif,6.736223346273714,6.760745201059593,6.710285588563049
art_interrupt_rate,2025,100,baseline,11.37428993780808,11.427416974104542,11.303141222233767
art_interrupt_rate,2025,100,intervention,18.110513284081794,18.185681171622665,18.03278355458107
art_interrupt_rate,2025,100,percent_change,59.223857497602545,59.676499524139686,58.88911794178253
NewAdultHIV,2025,100,absolute_dif,3758088.36,4220143.145,3405643.1025
NewAdultHIV,2025,100,baseline,3859614.14,4254664.4175,3500787.6375
NewAdultHIV,2025,100,intervention,7617702.5,8121232.275,6919200.524999999
NewAdultHIV,2025,100,percent_change,97.69037483556053,113.1881060884994,84.9107512678713
SWsexActs,2025,100,absolute_dif,-160274600,-144891375,-182406225
SWsexActs,2025,100,baseline,8476909600,8500787600,8458623525
SWsexActs,2025,100,intervention,8316635000,8338455025,8302181850
SWsexActs,2025,100,percent_change,-1.8906181971837523,-1.7080434688078203,-2.1493569056821027
SWsexActsProt,2025,100,absolute_dif,-131500240,-119495205,-148975725
SWsexActsProt,2025,100,baseline,6956859360,7140655925,6845256532.5
SWsexActsProt,2025,100,intervention,6825359120,7014109475,6722388577.5
SWsexActsProt,2025,100,percent_change,-1.8906003563986185,-1.7080909934359512,-2.149340502250803
TotalAIDSdeathsadult,2025,100,absolute_dif,1021302.343,1198080.43425,894906.7450000001
TotalAIDSdeathsadult,2025,100,baseline,1751625.607,1872816.1612500001,1639997.56275
TotalAIDSdeathsadult,2025,100,intervention,2772927.95,2960915.2975,2546415.9400000004
TotalAIDSdeathsadult,2025,100,percent_change,58.36900699617461,68.72891206581981,50.25165276837969
TotalART15,2025,100,absolute_dif,-8016801.8,-5793472.65,-9457683.725
TotalART15,2025,100,baseline,264282562.1,271175070.675,258210826.45
TotalART15,2025,100,intervention,256265760.3,262348969.325,249715948.5
TotalART15,2025,100,percent_change,-3.0323296626426797,-2.1867977232474636,-3.536175629792371
TotalART15F,2025,100,absolute_dif,-2673755,-435756.7499999999,-3942140.25
TotalART15F,2025,100,baseline,194551705,199874420.5,190717735.5
TotalART15F,2025,100,intervention,191877950,196714859.75,187575289
TotalART15F,2025,100,percent_change,-1.3721366458140962,-0.22547621383689676,-2.0031176156861674
TotalART15M,2025,100,absolute_dif,-5343046.8,-4893442.85,-5666540.6
TotalART15M,2025,100,baseline,69730857.1,71814670.825,67461489.05
TotalART15M,2025,100,intervention,64387810.3,66350155.825,62140659.5
TotalART15M,2025,100,percent_change,-7.663635092870186,-6.985834026394249,-8.017384497742821
TotalHIVtests,2025,100,absolute_dif,-948657359,-710119016.25,-1311680198
TotalHIVtests,2025,100,baseline,1188882060,1559174762.5,945431580
TotalHIVtests,2025,100,intervention,240224701,247494564.5,233085774.5
TotalHIVtests,2025,100,percent_change,-79.38580084355472,-75.05034353511371,-84.0000648566828
TotProtSexActs,2025,100,absolute_dif,-145333600,-131885825,-163419800
TotProtSexActs,2025,100,baseline,12346787400,12968577225,11826529100
TotProtSexActs,2025,100,intervention,12201453800,12828614350,11693198775
TotProtSexActs,2025,100,percent_change,-1.177655665437113,-1.0514877959810431,-1.3269129575773506
TotSexActs,2025,100,absolute_dif,-281014600,-250793075,-318536500
TotSexActs,2025,100,baseline,34288113400,35105919025,33793730125
TotSexActs,2025,100,intervention,34007098800,34788347100,33533630600
TotSexActs,2025,100,percent_change,-0.8190302901016175,-0.741272952957005,-0.9106558071982318
