indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
AdultARTinterrupters,2025,0,absolute_dif,11123585,11521588.850000001,10822771.399999999
AdultARTinterrupters,2025,0,baseline,59179812,60897072.224999994,57869972.525
AdultARTinterrupters,2025,0,intervention,70303397,72392275.375,68705563.875
AdultARTinterrupters,2025,0,percent_change,18.795162702176427,18.970880256111023,18.63608193506191
AdultInterruptPropn,2025,0,absolute_dif,1.446634,1.4655387000000002,1.4320347750000006
AdultInterruptPropn,2025,0,baseline,8.8701543,8.948355750000001,8.818079149999999
AdultInterruptPropn,2025,0,intervention,10.3167883,10.413894449999999,10.251895375
AdultInterruptPropn,2025,0,percent_change,16.30884645541804,16.378535154229716,16.235737867207046
art_interrupt_rate,2025,0,absolute_dif,2.418863800510443,2.430157525807152,2.402678682055967
art_interrupt_rate,2025,0,baseline,11.37428993780808,11.427416974104542,11.303141222233767
art_interrupt_rate,2025,0,intervention,13.793153738318521,13.857574499911692,13.706211020908935
art_interrupt_rate,2025,0,percent_change,21.266045590834622,21.282525138472216,21.251698688019303
NewAdultHIV,2025,0,absolute_dif,442719.3199999999,483480.0725000002,402987.47500000003
NewAdultHIV,2025,0,baseline,3859614.14,4254664.4175,3500787.6375
NewAdultHIV,2025,0,intervention,4302333.46,4738144.49,3905182.0825000005
NewAdultHIV,2025,0,percent_change,11.471728062841871,11.699003775237792,11.259126288547648
SWsexActs,2025,0,absolute_dif,-10099600,-8647375,-11634200
SWsexActs,2025,0,baseline,8476909600,8500787600,8458623525
SWsexActs,2025,0,intervention,8466810000,8492019850,8447323725
SWsexActs,2025,0,percent_change,-0.11915585377503618,-0.10174253428557951,-0.13752693855491424
SWsexActsProt,2025,0,absolute_dif,-8283110,-7235875,-9588992.5
SWsexActsProt,2025,0,baseline,6956859360,7140655925,6845256532.5
SWsexActsProt,2025,0,intervention,6948576250,7133180800,6836997595
SWsexActsProt,2025,0,percent_change,-0.11913953940197028,-0.1017523571939992,-0.13747906452541736
TotalAIDSdeathsadult,2025,0,absolute_dif,57011.01799999997,64915.33799999977,48227.85275000008
TotalAIDSdeathsadult,2025,0,baseline,1751625.607,1872816.1612500001,1639997.56275
TotalAIDSdeathsadult,2025,0,intervention,1808636.625,1937509.3387499999,1688225.4155000001
TotalAIDSdeathsadult,2025,0,percent_change,3.247757012685734,3.485557731718689,2.926941409444828
TotalART15,2025,0,absolute_dif,-4078910.4,-3867839.4,-4322857.5
TotalART15,2025,0,baseline,264282562.1,271175070.675,258210826.45
TotalART15,2025,0,intervention,260203651.7,267228002.925,254117919.775
TotalART15,2025,0,percent_change,-1.5439077418790208,-1.4373814446333004,-1.6524915025262712
TotalART15F,2025,0,absolute_dif,-2014294,-1851700.25,-2191669.75
TotalART15F,2025,0,baseline,194551705,199874420.5,190717735.5
TotalART15F,2025,0,intervention,192537411,197983149.5,188656070.5
TotalART15F,2025,0,percent_change,-1.035973534875667,-0.9335474167447038,-1.143927896218922
TotalART15M,2025,0,absolute_dif,-2064616.4,-1984744.775,-2150075
TotalART15M,2025,0,baseline,69730857.1,71814670.825,67461489.05
TotalART15M,2025,0,intervention,67666240.7,69689073.575,65446503.724999994
TotalART15M,2025,0,percent_change,-2.9613125805581144,-2.8508130879951397,-3.0631793884109966
TotalHIVtests,2025,0,absolute_dif,-3427790,-2787167.5,-4350490
TotalHIVtests,2025,0,baseline,1188882060,1559174762.5,945431580
TotalHIVtests,2025,0,intervention,1185454270,1554855615,942590592.5
TotalHIVtests,2025,0,percent_change,-0.2895603728462864,-0.2638339753246309,-0.32071824180038006
TotProtSexActs,2025,0,absolute_dif,-8242500,-7040425,-9575775
TotProtSexActs,2025,0,baseline,12346787400,12968577225,11826529100
TotProtSexActs,2025,0,intervention,12338544900,12961182875,11818139850
TotProtSexActs,2025,0,percent_change,-0.06688857847155445,-0.05463180076881213,-0.07700445219583438
TotSexActs,2025,0,absolute_dif,-13554100,-11229975,-15668600
TotSexActs,2025,0,baseline,34288113400,35105919025,33793730125
TotSexActs,2025,0,intervention,34274559300,35093911325,33780214750
TotSexActs,2025,0,percent_change,-0.039548615101267934,-0.032431211254759146,-0.04577056182619245
