indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
AdultARTinterrupters,2025,0,absolute_dif,-30247752.5,-29484997.9,-31234813.775
AdultARTinterrupters,2025,0,baseline,59179812,60897072.224999994,57869972.525
AdultARTinterrupters,2025,0,intervention,28932059.5,29662258.450000003,28308544.425
AdultARTinterrupters,2025,0,percent_change,-51.1096988098566,-50.88428072466708,-51.37254636706297
AdultInterruptPropn,2025,0,absolute_dif,-4.324546010000001,-4.2921339624999995,-4.37061102
AdultInterruptPropn,2025,0,baseline,8.8701543,8.948355750000001,8.818079149999999
AdultInterruptPropn,2025,0,intervention,4.54560829,4.57774473,4.521033747500001
AdultInterruptPropn,2025,0,percent_change,-48.75369094631446,-48.662038717467,-48.84460599508042
art_interrupt_rate,2025,0,absolute_dif,-6.116590308309785,-6.077336940082722,-6.145645085597941
art_interrupt_rate,2025,0,baseline,11.37428993780808,11.427416974104542,11.303141222233767
art_interrupt_rate,2025,0,intervention,5.257699629498294,5.281771888506599,5.22552339395516
art_interrupt_rate,2025,0,percent_change,-53.77555362593374,-53.75452000290322,-53.79469308040301
NewAdultHIV,2025,0,absolute_dif,-1324337.827,-1206310.641,-1452222.0199999998
NewAdultHIV,2025,0,baseline,3859614.14,4254664.4175,3500787.6375
NewAdultHIV,2025,0,intervention,2535276.313,2805457.0600000005,2290514.7712499998
NewAdultHIV,2025,0,percent_change,-34.314919887909944,-33.80897790384882,-34.87126479595454
SWsexActs,2025,0,absolute_dif,28780400,33172000,24690275
SWsexActs,2025,0,baseline,8476909600,8500787600,8458623525
SWsexActs,2025,0,intervention,8505690000,8525810200,8487955275
SWsexActs,2025,0,percent_change,0.3395539702912579,0.3921235718021784,0.29049910137464513
SWsexActsProt,2025,0,absolute_dif,23607420,27351007.5,20654425
SWsexActsProt,2025,0,baseline,6956859360,7140655925,6845256532.5
SWsexActsProt,2025,0,intervention,6980466780,7162010500,6868936752.5
SWsexActsProt,2025,0,percent_change,0.33955318382432714,0.3921400816107933,0.29044617285914837
TotalAIDSdeathsadult,2025,0,absolute_dif,-177405.85600000003,-150375.13075000004,-202538.1987500002
TotalAIDSdeathsadult,2025,0,baseline,1751625.607,1872816.1612500001,1639997.56275
TotalAIDSdeathsadult,2025,0,intervention,1574219.751,1670875.315,1489622.432
TotalAIDSdeathsadult,2025,0,percent_change,-10.106291423779382,-9.12452517110746,-10.874436447883761
TotalART15,2025,0,absolute_dif,7925105.7,8874608.5,7011108.575
TotalART15,2025,0,baseline,264282562.1,271175070.675,258210826.45
TotalART15,2025,0,intervention,272207667.8,278862205.05,266195516.1
TotalART15,2025,0,percent_change,3.000873234700766,3.394164943135215,2.606340250410014
TotalART15F,2025,0,absolute_dif,2443414,3167018.5,1747762.5
TotalART15F,2025,0,baseline,194551705,199874420.5,190717735.5
TotalART15F,2025,0,intervention,196995119,201689282.5,193362141.25
TotalART15F,2025,0,percent_change,1.2583983482698486,1.650868982714028,0.882588410466859
TotalART15M,2025,0,absolute_dif,5481691.7,5719076.475000001,5211792.925000001
TotalART15M,2025,0,baseline,69730857.1,71814670.825,67461489.05
TotalART15M,2025,0,intervention,75212548.8,77426317.8,72833374.85
TotalART15M,2025,0,percent_change,7.863345112810745,8.225435743655506,7.444096336218097
TotalHIVtests,2025,0,absolute_dif,10588020,13344375.000000002,8684757.5
TotalHIVtests,2025,0,baseline,1188882060,1559174762.5,945431580
TotalHIVtests,2025,0,intervention,1199470080,1572387827.5,954286752.5
TotalHIVtests,2025,0,percent_change,0.8952497702156246,0.9947579473057281,0.8110907729985599
TotProtSexActs,2025,0,absolute_dif,23318500,27120050,19769200
TotProtSexActs,2025,0,baseline,12346787400,12968577225,11826529100
TotProtSexActs,2025,0,intervention,12370105900,12989536350,11850520475
TotProtSexActs,2025,0,percent_change,0.18924246046732446,0.2183345197019186,0.15420836072848212
TotSexActs,2025,0,absolute_dif,39446100,45694025,32531450
TotSexActs,2025,0,baseline,34288113400,35105919025,33793730125
TotSexActs,2025,0,intervention,34327559500,35140302775,33833435125
TotSexActs,2025,0,percent_change,0.1151058004975554,0.13348089650608982,0.09346915150755072
