indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2050,10,absolute_dif,-69598.80000000005,-62289.78500000009,-76907.815
NewAdultHIV,2050,10,baseline,2052443.75,2146859.6425,1958027.8575000002
NewAdultHIV,2050,10,intervention,1982844.95,2069951.8275,1895738.0725
NewAdultHIV,2050,10,percent_change,-3.3807966930731874,-3.1802062686766877,-3.5813871174696867
SWsexActs,2050,10,absolute_dif,1827000,2784600.0000000005,869399.9999999999
SWsexActs,2050,10,baseline,9864752500,9868275575,9861229425
SWsexActs,2050,10,intervention,9866579500,9871060175,9862098825
SWsexActs,2050,10,percent_change,0.01851664617288628,0.028217321832694722,0.008815970513077838
SWsexActsProt,2050,10,absolute_dif,1480500,2260925,700074.9999999999
SWsexActsProt,2050,10,baseline,7978662500,8012839225,7944485775
SWsexActsProt,2050,10,intervention,7980143000,8015100150,7945185850
SWsexActsProt,2050,10,percent_change,0.018509692711809828,0.028211807486354306,0.00880757793726535
TotalAIDSdeathsadult,2050,10,absolute_dif,-13318.209999999963,-10112.264000000023,-16524.1559999999
TotalAIDSdeathsadult,2050,10,baseline,1100588.645,1134657.62575,1066519.6642500001
TotalAIDSdeathsadult,2050,10,intervention,1087270.435,1118133.46975,1056407.40025
TotalAIDSdeathsadult,2050,10,percent_change,-1.201383156368789,-0.9472784991539298,-1.4554878135836482
TotalHIVtests,2050,10,absolute_dif,120783000,134816210,106749790
TotalHIVtests,2050,10,baseline,747450600,811708220,683192980
TotalHIVtests,2050,10,intervention,868233600,946524430,789942770
TotalHIVtests,2050,10,percent_change,16.112433415371193,16.604739363509808,15.620127467232578
TotProtSexActs,2050,10,absolute_dif,2347500,3573475.0000000005,1121524.9999999998
TotProtSexActs,2050,10,baseline,13225346500,13518867525,12931825475
TotProtSexActs,2050,10,intervention,13227694000,13522441000,12932947000
TotProtSexActs,2050,10,percent_change,0.01753161547933055,0.02641241132498957,0.008650819633671534
TotSexActs,2050,10,absolute_dif,3559000,6295000.000000001,822999.9999999995
TotSexActs,2050,10,baseline,35317772000,36149668950,34485875050
TotSexActs,2050,10,intervention,35321331000,36155963950,34486698050
TotSexActs,2050,10,percent_change,0.009880967683147054,0.017395033211440893,0.0023669021548532124
