"indicator","intervention_year","scenario","parameter_set","test_reduction","cumulative"
"CondomUsage","2025","baseline",1,0,1777.01983819717
"CondomUsage","2025","baseline",1,10,1777.01983819717
"CondomUsage","2025","baseline",1,20,1777.01983819717
"CondomUsage","2025","baseline",1,30,1777.01983819717
"CondomUsage","2025","baseline",1,40,1777.01983819717
"CondomUsage","2025","baseline",1,50,1777.01983819717
"CondomUsage","2025","baseline",1,60,1777.01983819717
"CondomUsage","2025","baseline",1,70,1777.01983819717
"CondomUsage","2025","baseline",1,80,1777.01983819717
"CondomUsage","2025","baseline",1,90,1777.01983819717
"CondomUsage","2025","baseline",1,100,1777.01983819717
"CondomUsage","2025","baseline",2,0,1771.2595830246
"CondomUsage","2025","baseline",2,10,1771.2595830246
"CondomUsage","2025","baseline",2,20,1771.2595830246
"CondomUsage","2025","baseline",2,30,1771.2595830246
"CondomUsage","2025","baseline",2,40,1771.2595830246
"CondomUsage","2025","baseline",2,50,1771.2595830246
"CondomUsage","2025","baseline",2,60,1771.2595830246
"CondomUsage","2025","baseline",2,70,1771.2595830246
"CondomUsage","2025","baseline",2,80,1771.2595830246
"CondomUsage","2025","baseline",2,90,1771.2595830246
"CondomUsage","2025","baseline",2,100,1771.2595830246
"CondomUsage","2025","intervention",1,0,1777.01983819717
"CondomUsage","2025","intervention",1,10,1776.73453034927
"CondomUsage","2025","intervention",1,20,1776.40638951334
"CondomUsage","2025","intervention",1,30,1776.02943101058
"CondomUsage","2025","intervention",1,40,1775.59833647705
"CondomUsage","2025","intervention",1,50,1775.11163042522
"CondomUsage","2025","intervention",1,60,1774.56135179643
"CondomUsage","2025","intervention",1,70,1773.94560030966
"CondomUsage","2025","intervention",1,80,1773.26828484356
"CondomUsage","2025","intervention",1,90,1772.54198544417
"CondomUsage","2025","intervention",1,100,1771.7797085306
"CondomUsage","2025","intervention",2,0,1771.2595830246
"CondomUsage","2025","intervention",2,10,1770.98789236077
"CondomUsage","2025","intervention",2,20,1770.68715399119
"CondomUsage","2025","intervention",2,30,1770.3550361011
"CondomUsage","2025","intervention",2,40,1769.98893217671
"CondomUsage","2025","intervention",2,50,1769.5887837326
"CondomUsage","2025","intervention",2,60,1769.15036288494
"CondomUsage","2025","intervention",2,70,1768.67822130786
"CondomUsage","2025","intervention",2,80,1768.17271616174
"CondomUsage","2025","intervention",2,90,1767.6408228383
"CondomUsage","2025","intervention",2,100,1767.08095312611
"FSWCondomUsage","2025","baseline",1,0,4141.94706961786
"FSWCondomUsage","2025","baseline",1,10,4141.94706961786
"FSWCondomUsage","2025","baseline",1,20,4141.94706961786
"FSWCondomUsage","2025","baseline",1,30,4141.94706961786
"FSWCondomUsage","2025","baseline",1,40,4141.94706961786
"FSWCondomUsage","2025","baseline",1,50,4141.94706961786
"FSWCondomUsage","2025","baseline",1,60,4141.94706961786
"FSWCondomUsage","2025","baseline",1,70,4141.94706961786
"FSWCondomUsage","2025","baseline",1,80,4141.94706961786
"FSWCondomUsage","2025","baseline",1,90,4141.94706961786
"FSWCondomUsage","2025","baseline",1,100,4141.94706961786
"FSWCondomUsage","2025","baseline",2,0,4107.85015331419
"FSWCondomUsage","2025","baseline",2,10,4107.85015331419
"FSWCondomUsage","2025","baseline",2,20,4107.85015331419
"FSWCondomUsage","2025","baseline",2,30,4107.85015331419
"FSWCondomUsage","2025","baseline",2,40,4107.85015331419
"FSWCondomUsage","2025","baseline",2,50,4107.85015331419
"FSWCondomUsage","2025","baseline",2,60,4107.85015331419
"FSWCondomUsage","2025","baseline",2,70,4107.85015331419
"FSWCondomUsage","2025","baseline",2,80,4107.85015331419
"FSWCondomUsage","2025","baseline",2,90,4107.85015331419
"FSWCondomUsage","2025","baseline",2,100,4107.85015331419
"FSWCondomUsage","2025","intervention",1,0,4141.94706961786
"FSWCondomUsage","2025","intervention",1,10,4141.9451667722
"FSWCondomUsage","2025","intervention",1,20,4141.9477797021
"FSWCondomUsage","2025","intervention",1,30,4141.94793467001
"FSWCondomUsage","2025","intervention",1,40,4141.94721433223
"FSWCondomUsage","2025","intervention",1,50,4141.95065892634
"FSWCondomUsage","2025","intervention",1,60,4141.94863429907
"FSWCondomUsage","2025","intervention",1,70,4141.94545205147
"FSWCondomUsage","2025","intervention",1,80,4141.95053366608
"FSWCondomUsage","2025","intervention",1,90,4141.94672430668
"FSWCondomUsage","2025","intervention",1,100,4141.94708322684
"FSWCondomUsage","2025","intervention",2,0,4107.85015331419
"FSWCondomUsage","2025","intervention",2,10,4107.8522484281
"FSWCondomUsage","2025","intervention",2,20,4107.85284883927
"FSWCondomUsage","2025","intervention",2,30,4107.85278951871
"FSWCondomUsage","2025","intervention",2,40,4107.85161706803
"FSWCondomUsage","2025","intervention",2,50,4107.85249622804
"FSWCondomUsage","2025","intervention",2,60,4107.85286453895
"FSWCondomUsage","2025","intervention",2,70,4107.85084417847
"FSWCondomUsage","2025","intervention",2,80,4107.85129673465
"FSWCondomUsage","2025","intervention",2,90,4107.85388251551
"FSWCondomUsage","2025","intervention",2,100,4107.85030632099
"NewAdultHIV","2025","baseline",1,0,3886034.2
"NewAdultHIV","2025","baseline",1,10,3886034.2
"NewAdultHIV","2025","baseline",1,20,3886034.2
"NewAdultHIV","2025","baseline",1,30,3886034.2
"NewAdultHIV","2025","baseline",1,40,3886034.2
"NewAdultHIV","2025","baseline",1,50,3886034.2
"NewAdultHIV","2025","baseline",1,60,3886034.2
"NewAdultHIV","2025","baseline",1,70,3886034.2
"NewAdultHIV","2025","baseline",1,80,3886034.2
"NewAdultHIV","2025","baseline",1,90,3886034.2
"NewAdultHIV","2025","baseline",1,100,3886034.2
"NewAdultHIV","2025","baseline",2,0,3690074.6
"NewAdultHIV","2025","baseline",2,10,3690074.6
"NewAdultHIV","2025","baseline",2,20,3690074.6
"NewAdultHIV","2025","baseline",2,30,3690074.6
"NewAdultHIV","2025","baseline",2,40,3690074.6
"NewAdultHIV","2025","baseline",2,50,3690074.6
"NewAdultHIV","2025","baseline",2,60,3690074.6
"NewAdultHIV","2025","baseline",2,70,3690074.6
"NewAdultHIV","2025","baseline",2,80,3690074.6
"NewAdultHIV","2025","baseline",2,90,3690074.6
"NewAdultHIV","2025","baseline",2,100,3690074.6
"NewAdultHIV","2025","intervention",1,0,3886034.2
"NewAdultHIV","2025","intervention",1,10,4048968.6
"NewAdultHIV","2025","intervention",1,20,4233756.3
"NewAdultHIV","2025","intervention",1,30,4444099.5
"NewAdultHIV","2025","intervention",1,40,4681934.4
"NewAdultHIV","2025","intervention",1,50,4948955.6
"NewAdultHIV","2025","intervention",1,60,5249261.4
"NewAdultHIV","2025","intervention",1,70,5583140.9
"NewAdultHIV","2025","intervention",1,80,5949225.8
"NewAdultHIV","2025","intervention",1,90,6340572.7
"NewAdultHIV","2025","intervention",1,100,6749413.2
"NewAdultHIV","2025","intervention",2,0,3690074.6
"NewAdultHIV","2025","intervention",2,10,3837150.7
"NewAdultHIV","2025","intervention",2,20,4000174
"NewAdultHIV","2025","intervention",2,30,4181596.4
"NewAdultHIV","2025","intervention",2,40,4382197.9
"NewAdultHIV","2025","intervention",2,50,4602388.8
"NewAdultHIV","2025","intervention",2,60,4844172.7
"NewAdultHIV","2025","intervention",2,70,5106170
"NewAdultHIV","2025","intervention",2,80,5385857.1
"NewAdultHIV","2025","intervention",2,90,5677698.2
"NewAdultHIV","2025","intervention",2,100,5978301.5
"NonFSWCondomUsage","2025","baseline",1,0,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,10,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,20,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,30,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,40,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,50,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,60,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,70,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,80,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,90,1030.76978019831
"NonFSWCondomUsage","2025","baseline",1,100,1030.76978019831
"NonFSWCondomUsage","2025","baseline",2,0,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,10,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,20,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,30,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,40,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,50,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,60,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,70,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,80,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,90,992.642054279324
"NonFSWCondomUsage","2025","baseline",2,100,992.642054279324
"NonFSWCondomUsage","2025","intervention",1,0,1030.76978019831
"NonFSWCondomUsage","2025","intervention",1,10,1030.89544962349
"NonFSWCondomUsage","2025","intervention",1,20,1031.03527762068
"NonFSWCondomUsage","2025","intervention",1,30,1031.19453126501
"NonFSWCondomUsage","2025","intervention",1,40,1031.37388440043
"NonFSWCondomUsage","2025","intervention",1,50,1031.57620608237
"NonFSWCondomUsage","2025","intervention",1,60,1031.80751928197
"NonFSWCondomUsage","2025","intervention",1,70,1032.06596824439
"NonFSWCondomUsage","2025","intervention",1,80,1032.35143975873
"NonFSWCondomUsage","2025","intervention",1,90,1032.66179509658
"NonFSWCondomUsage","2025","intervention",1,100,1032.98801342038
"NonFSWCondomUsage","2025","intervention",2,0,992.642054279324
"NonFSWCondomUsage","2025","intervention",2,10,992.742396087201
"NonFSWCondomUsage","2025","intervention",2,20,992.853438719569
"NonFSWCondomUsage","2025","intervention",2,30,992.97891961429
"NonFSWCondomUsage","2025","intervention",2,40,993.119236745642
"NonFSWCondomUsage","2025","intervention",2,50,993.27341351209
"NonFSWCondomUsage","2025","intervention",2,60,993.444210760442
"NonFSWCondomUsage","2025","intervention",2,70,993.633675132395
"NonFSWCondomUsage","2025","intervention",2,80,993.834251612514
"NonFSWCondomUsage","2025","intervention",2,90,994.042225650477
"NonFSWCondomUsage","2025","intervention",2,100,994.255415095934
"PctProtSexActsSW","2025","baseline",1,0,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,10,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,20,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,30,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,40,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,50,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,60,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,70,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,80,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,90,2846.80784867942
"PctProtSexActsSW","2025","baseline",1,100,2846.80784867942
"PctProtSexActsSW","2025","baseline",2,0,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,10,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,20,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,30,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,40,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,50,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,60,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,70,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,80,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,90,2951.00857438456
"PctProtSexActsSW","2025","baseline",2,100,2951.00857438456
"PctProtSexActsSW","2025","intervention",1,0,2846.80784867942
"PctProtSexActsSW","2025","intervention",1,10,2845.81716847991
"PctProtSexActsSW","2025","intervention",1,20,2844.69296808553
"PctProtSexActsSW","2025","intervention",1,30,2843.4087089365
"PctProtSexActsSW","2025","intervention",1,40,2841.95194159097
"PctProtSexActsSW","2025","intervention",1,50,2840.31036664867
"PctProtSexActsSW","2025","intervention",1,60,2838.45222363158
"PctProtSexActsSW","2025","intervention",1,70,2836.37790241099
"PctProtSexActsSW","2025","intervention",1,80,2834.09348906117
"PctProtSexActsSW","2025","intervention",1,90,2831.63586498299
"PctProtSexActsSW","2025","intervention",1,100,2829.0543844548
"PctProtSexActsSW","2025","intervention",2,0,2951.00857438456
"PctProtSexActsSW","2025","intervention",2,10,2950.14964324179
"PctProtSexActsSW","2025","intervention",2,20,2949.20235621864
"PctProtSexActsSW","2025","intervention",2,30,2948.15067321297
"PctProtSexActsSW","2025","intervention",2,40,2946.98918854225
"PctProtSexActsSW","2025","intervention",2,50,2945.71969987642
"PctProtSexActsSW","2025","intervention",2,60,2944.32718775729
"PctProtSexActsSW","2025","intervention",2,70,2942.81500485873
"PctProtSexActsSW","2025","intervention",2,80,2941.20466710653
"PctProtSexActsSW","2025","intervention",2,90,2939.52060222001
"PctProtSexActsSW","2025","intervention",2,100,2937.76693970288
"PctSexActsSW","2025","baseline",1,0,1223.9283241493
"PctSexActsSW","2025","baseline",1,10,1223.9283241493
"PctSexActsSW","2025","baseline",1,20,1223.9283241493
"PctSexActsSW","2025","baseline",1,30,1223.9283241493
"PctSexActsSW","2025","baseline",1,40,1223.9283241493
"PctSexActsSW","2025","baseline",1,50,1223.9283241493
"PctSexActsSW","2025","baseline",1,60,1223.9283241493
"PctSexActsSW","2025","baseline",1,70,1223.9283241493
"PctSexActsSW","2025","baseline",1,80,1223.9283241493
"PctSexActsSW","2025","baseline",1,90,1223.9283241493
"PctSexActsSW","2025","baseline",1,100,1223.9283241493
"PctSexActsSW","2025","baseline",2,0,1275.38685997282
"PctSexActsSW","2025","baseline",2,10,1275.38685997282
"PctSexActsSW","2025","baseline",2,20,1275.38685997282
"PctSexActsSW","2025","baseline",2,30,1275.38685997282
"PctSexActsSW","2025","baseline",2,40,1275.38685997282
"PctSexActsSW","2025","baseline",2,50,1275.38685997282
"PctSexActsSW","2025","baseline",2,60,1275.38685997282
"PctSexActsSW","2025","baseline",2,70,1275.38685997282
"PctSexActsSW","2025","baseline",2,80,1275.38685997282
"PctSexActsSW","2025","baseline",2,90,1275.38685997282
"PctSexActsSW","2025","baseline",2,100,1275.38685997282
"PctSexActsSW","2025","intervention",1,0,1223.9283241493
"PctSexActsSW","2025","intervention",1,10,1223.30793929335
"PctSexActsSW","2025","intervention",1,20,1222.59829938307
"PctSexActsSW","2025","intervention",1,30,1221.78520410776
"PctSexActsSW","2025","intervention",1,40,1220.85917732751
"PctSexActsSW","2025","intervention",1,50,1219.81187749321
